"","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.Other Firm Type","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Count.Report","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","LREM25TTUSM156S"
"124","2006-01",18,90,20,57,0,23,0,0,0,0,1,1,0,0,180,2,3,1,2,20,0,5,179,26,210,0.852380952380952,0.857142857142857,2006-01-01,0.07887,79.4812698097738
"125","2006-02",20,100,18,51,1,25,0,0,0,0,1,2,0,1,191,0,1,3,0,18,1,5,179,34,218,0.821100917431193,0.876146788990826,2006-02-01,-0.07272,79.5237237443395
"126","2006-03",23,109,21,69,2,44,0,0,0,0,1,0,0,1,252,0,3,1,0,14,0,7,224,41,272,0.823529411764706,0.926470588235294,2006-03-01,0.04912,79.6823084483528
"127","2006-04",30,98,13,62,0,23,0,0,0,0,3,0,0,0,212,0,2,1,0,11,1,3,188,39,230,0.817391304347826,0.921739130434783,2006-04-01,0.03036,79.5932452764006
"128","2006-05",15,101,26,67,1,38,0,0,0,0,0,0,0,0,222,3,0,5,2,20,0,6,207,39,252,0.821428571428571,0.880952380952381,2006-05-01,-0.09163,79.6725199661244
"129","2006-06",29,106,14,79,2,24,0,0,0,0,4,0,0,0,230,1,1,4,0,18,1,10,219,30,259,0.845559845559846,0.888030888030888,2006-06-01,-0.27394,79.7515307681088
"130","2006-07",22,113,22,49,1,29,0,0,0,0,0,1,0,1,211,1,2,3,1,17,0,6,191,40,237,0.805907172995781,0.890295358649789,2006-07-01,-0.12733,79.7449296233625
"131","2006-08",19,115,21,69,0,22,0,0,0,0,0,0,0,0,223,1,0,3,1,21,0,6,210,33,249,0.843373493975904,0.895582329317269,2006-08-01,-0.23744,79.7401004195623
"132","2006-09",24,116,27,60,1,23,0,0,0,0,0,0,0,0,227,4,2,1,2,16,1,7,211,35,253,0.83399209486166,0.897233201581028,2006-09-01,-0.3111,79.8979537238104
"133","2006-10",17,118,19,64,2,28,0,0,0,0,1,0,0,0,223,0,2,6,0,19,1,4,219,29,252,0.869047619047619,0.884920634920635,2006-10-01,-0.26064,80.2134051248384
"134","2006-11",22,115,22,67,1,37,0,0,0,0,0,0,0,1,243,1,2,3,0,19,0,4,223,42,269,0.828996282527881,0.903345724907063,2006-11-01,-0.31071,80.0983122737295
"135","2006-12",10,69,17,62,1,30,0,0,0,0,1,0,0,0,167,1,2,2,0,17,0,4,158,28,190,0.831578947368421,0.878947368421053,2006-12-01,-0.28067,80.1370234792814
"136","2007-01",14,111,17,65,0,29,0,0,0,0,1,1,0,0,217,0,1,1,0,16,2,5,193,41,239,0.807531380753138,0.907949790794979,2007-01-01,0.00276,80.1570112720318
"137","2007-02",25,104,17,57,2,33,0,1,0,0,0,0,0,0,211,2,1,2,1,21,0,7,204,28,239,0.853556485355649,0.882845188284519,2007-02-01,-0.2103,79.976237321886
"138","2007-03",24,74,27,81,2,28,0,0,0,0,0,0,0,0,212,1,4,1,2,19,1,5,191,44,240,0.795833333333333,0.883333333333333,2007-03-01,-0.03935,80.1597495602628
"139","2007-04",34,85,20,59,2,25,0,0,0,0,2,1,0,0,205,0,2,2,0,16,1,7,182,40,229,0.794759825327511,0.895196506550218,2007-04-01,-0.23376,80.0211142175286
"140","2007-05",29,85,20,83,3,31,0,0,0,0,1,2,0,2,223,5,1,5,1,20,0,6,216,38,260,0.830769230769231,0.857692307692308,2007-05-01,-0.1752,80.0785145140326
"141","2007-06",17,75,25,51,0,48,0,0,0,0,1,0,0,0,194,1,3,3,2,17,1,13,174,35,222,0.783783783783784,0.873873873873874,2007-06-01,-0.18984,79.9640164531831
"142","2007-07",22,96,21,62,5,46,0,0,0,0,2,1,0,0,234,2,1,9,0,10,2,9,212,40,261,0.812260536398467,0.896551724137931,2007-07-01,-0.27502,79.7970898944863
"143","2007-08",25,113,27,61,2,58,0,0,0,0,1,0,0,1,264,1,4,4,4,17,0,13,241,42,296,0.814189189189189,0.891891891891892,2007-08-01,-0.45604,79.864576418203
"144","2007-09",14,84,20,66,1,36,0,0,0,0,2,1,0,1,212,4,1,4,0,9,1,14,198,23,235,0.842553191489362,0.902127659574468,2007-09-01,-0.40435,79.860833338401
"145","2007-10",20,115,37,88,3,45,0,0,0,0,2,2,0,2,271,4,3,6,0,27,2,7,267,45,319,0.836990595611285,0.849529780564263,2007-10-01,-0.36613,79.7864405351584
"146","2007-11",26,95,21,96,4,43,0,1,0,0,1,1,0,1,268,2,1,5,0,20,0,20,235,46,301,0.780730897009967,0.890365448504983,2007-11-01,-0.45171,79.9276209692246
"147","2007-12",27,78,24,67,1,19,0,0,0,0,0,0,0,0,198,1,2,3,0,19,1,16,167,41,224,0.745535714285714,0.883928571428571,2007-12-01,-0.47531,79.8102863829334
"148","2008-01",24,109,24,82,3,31,0,0,0,0,2,2,0,0,254,1,0,4,0,18,1,7,232,44,283,0.819787985865724,0.897526501766785,2008-01-01,-0.81615,79.8261482665792
"149","2008-02",20,114,23,89,3,26,0,1,0,0,1,2,0,0,260,0,0,4,0,14,0,8,228,46,282,0.808510638297872,0.921985815602837,2008-02-01,-1.12857,79.6824374369453
"150","2008-03",26,96,32,88,0,26,0,0,0,0,2,5,0,0,244,1,1,0,1,23,3,12,215,53,280,0.767857142857143,0.871428571428571,2008-03-01,-1.21163,79.6026938704571
"151","2008-04",20,105,31,85,2,18,0,0,0,0,0,2,0,0,244,0,1,4,1,16,1,10,215,44,269,0.799256505576208,0.907063197026022,2008-04-01,-1.58702,79.5466703711526
"152","2008-05",15,109,26,80,2,33,0,0,0,0,0,1,0,0,248,2,1,4,1,22,0,22,207,50,279,0.741935483870968,0.888888888888889,2008-05-01,-1.74946,79.377958800407
"153","2008-06",21,101,21,78,3,21,0,0,0,0,1,0,0,2,231,2,2,4,1,18,0,14,210,38,262,0.801526717557252,0.881679389312977,2008-06-01,-1.85455,79.311143085033
"154","2008-07",24,100,28,78,1,25,0,0,0,0,0,2,0,0,239,3,5,4,1,20,0,13,218,43,274,0.795620437956204,0.872262773722628,2008-07-01,-1.80964,79.1912253393472
"155","2008-08",20,82,30,82,2,17,0,0,0,0,0,1,0,0,213,0,3,1,0,23,1,12,173,57,242,0.714876033057851,0.880165289256198,2008-08-01,-1.66219,78.8691023355181
"156","2008-09",19,101,28,76,3,29,0,1,0,0,2,0,0,0,239,1,4,4,1,20,1,10,222,41,273,0.813186813186813,0.875457875457875,2008-09-01,-1.73406,78.7924266172044
"157","2008-10",29,111,26,73,4,28,0,0,0,0,1,0,0,1,248,2,1,5,2,21,1,10,233,39,282,0.826241134751773,0.879432624113475,2008-10-01,-2.74778,78.5509379500457
"158","2008-11",19,81,33,60,3,17,0,0,0,0,2,0,0,0,210,0,1,2,1,10,0,9,165,52,226,0.730088495575221,0.929203539823009,2008-11-01,-3.39325,78.1791039020109
"159","2008-12",19,92,31,69,2,18,0,0,0,0,3,1,0,0,216,2,3,4,1,11,1,9,192,41,242,0.793388429752066,0.892561983471074,2008-12-01,-3.82705,77.6297795386802
"160","2009-01",15,98,26,69,1,19,0,0,0,0,1,1,0,0,216,0,0,4,0,17,0,10,197,32,239,0.824267782426778,0.903765690376569,2009-01-01,-4.18438,77.0675907753294
"161","2009-02",12,76,23,61,0,20,0,0,0,0,1,0,0,1,186,2,1,0,0,12,1,5,156,43,204,0.764705882352941,0.911764705882353,2009-02-01,-4.12014,76.6920525333974
"162","2009-03",17,119,29,83,1,31,0,0,0,0,1,2,0,1,257,3,1,3,0,20,1,5,230,54,289,0.795847750865052,0.889273356401384,2009-03-01,-3.89601,76.2593973335328
"163","2009-04",17,94,29,73,1,18,0,0,0,0,2,1,0,0,204,3,1,6,1,21,3,9,190,43,242,0.785123966942149,0.84297520661157,2009-04-01,-3.29793,76.1228485883525
"164","2009-05",19,83,23,82,1,25,0,0,0,0,0,0,0,0,225,2,0,4,0,12,0,8,189,46,243,0.777777777777778,0.925925925925926,2009-05-01,-2.53572,75.7088669433436
"165","2009-06",19,104,27,79,1,31,0,0,0,0,0,1,0,1,242,1,1,7,2,12,0,5,217,45,267,0.812734082397004,0.906367041198502,2009-06-01,-1.90344,75.6926845731584
"166","2009-07",25,115,18,85,2,22,0,0,0,0,2,0,0,0,251,1,2,3,1,20,0,8,237,35,280,0.846428571428571,0.896428571428571,2009-07-01,-1.51804,75.6857800040112
"167","2009-08",24,118,30,65,0,20,0,0,0,0,4,0,0,0,226,1,1,5,2,26,1,14,206,46,266,0.774436090225564,0.849624060150376,2009-08-01,-1.20115,75.4989100285147
"168","2009-09",25,113,27,92,2,19,0,1,0,0,0,0,0,0,256,2,3,0,2,20,0,11,231,42,284,0.813380281690141,0.901408450704225,2009-09-01,-0.73383,75.0795829037606
"169","2009-10",19,108,24,87,4,13,0,0,0,0,3,1,0,1,232,6,1,5,1,18,1,4,225,40,269,0.836431226765799,0.862453531598513,2009-10-01,-0.66371,75.0689115637356
"170","2009-11",20,85,35,79,2,15,0,0,0,1,0,0,0,1,214,2,2,4,1,16,1,5,192,45,242,0.793388429752066,0.884297520661157,2009-11-01,-0.33103,75.2321404763051
"171","2009-12",15,93,16,70,1,17,0,1,0,0,1,0,0,0,197,1,0,2,1,22,1,9,170,47,226,0.752212389380531,0.871681415929204,2009-12-01,0.0769,74.8921972629203
"172","2010-01",30,78,20,63,1,15,0,0,0,0,0,0,0,0,197,0,0,3,1,14,0,9,174,32,215,0.809302325581395,0.916279069767442,2010-01-01,0.32777,75.2603761752826
"173","2010-02",18,87,26,67,2,16,0,0,0,0,1,1,0,0,202,1,2,2,1,13,0,7,181,35,223,0.811659192825112,0.905829596412556,2010-02-01,0.05752,75.1299578118372
"174","2010-03",20,114,34,82,1,20,0,0,0,0,5,1,0,0,247,0,2,6,0,19,0,9,220,51,280,0.785714285714286,0.882142857142857,2010-03-01,0.2811,75.0769834386955
"175","2010-04",26,96,23,84,3,13,0,1,0,0,1,0,0,0,238,0,4,1,1,14,1,6,204,51,261,0.781609195402299,0.911877394636015,2010-04-01,0.51344,75.2619166874415
"176","2010-05",22,87,30,78,2,19,0,2,0,0,0,0,0,0,222,1,2,7,0,14,0,7,202,39,248,0.814516129032258,0.895161290322581,2010-05-01,0.86035,75.0227121275233
"177","2010-06",28,110,21,112,1,17,0,0,0,0,1,0,0,0,264,0,4,4,0,25,1,3,253,43,299,0.846153846153846,0.882943143812709,2010-06-01,0.54071,75.1714012608228
"178","2010-07",21,96,32,73,3,12,0,1,0,0,1,0,0,0,223,3,1,1,0,17,0,6,203,38,247,0.821862348178138,0.902834008097166,2010-07-01,0.3982,75.132757056654
"179","2010-08",31,89,25,80,5,18,0,0,0,0,1,1,0,2,231,2,2,3,0,17,1,4,221,35,260,0.85,0.888461538461538,2010-08-01,0.51044,75.0894289079226
"180","2010-09",29,94,30,68,2,9,0,1,0,0,2,1,0,1,211,3,2,0,0,21,0,2,201,39,242,0.830578512396694,0.871900826446281,2010-09-01,0.43966,75.0751849503253
"181","2010-10",13,90,36,76,6,18,0,0,0,0,0,0,0,0,217,1,3,7,0,15,1,6,198,40,244,0.811475409836066,0.889344262295082,2010-10-01,0.55692,75.0619191454725
"182","2010-11",19,90,30,72,5,15,0,0,0,0,3,1,0,1,218,1,1,3,1,14,0,7,198,38,243,0.814814814814815,0.897119341563786,2010-11-01,0.68193,74.7618508937821
"183","2010-12",17,67,25,70,2,14,0,0,0,0,1,1,0,0,184,2,0,4,0,18,0,8,168,34,210,0.8,0.876190476190476,2010-12-01,0.85506,75.0523486327319
"184","2011-01",18,93,25,61,1,11,0,0,0,0,0,2,0,1,187,2,2,1,0,20,0,8,164,43,215,0.762790697674419,0.869767441860465,2011-01-01,0.63962,75.2030122844262
"185","2011-02",15,71,31,68,0,16,0,0,0,0,0,0,0,2,172,2,3,2,0,25,0,5,169,32,206,0.820388349514563,0.83495145631068,2011-02-01,1.03125,75.1541424703814
"186","2011-03",18,94,33,79,0,21,0,0,0,0,0,2,0,0,235,0,1,1,0,18,1,10,209,39,258,0.810077519379845,0.910852713178295,2011-03-01,0.84215,75.2318954363098
"187","2011-04",18,85,30,81,1,17,0,0,0,0,2,2,0,1,203,2,2,3,0,19,2,3,189,44,236,0.800847457627119,0.860169491525424,2011-04-01,1.08387,74.9908341131509
"188","2011-05",17,80,26,66,1,17,0,0,0,0,2,1,0,0,201,2,1,6,0,6,0,6,172,41,219,0.785388127853881,0.917808219178082,2011-05-01,0.8992,75.1605665697924
"189","2011-06",24,102,24,79,3,12,0,0,0,0,0,0,0,0,236,1,0,4,0,12,0,4,211,38,253,0.83399209486166,0.932806324110672,2011-06-01,0.80591,74.9257024585109
"190","2011-07",23,96,20,70,2,10,0,0,0,0,2,1,0,0,208,0,3,2,0,16,0,9,176,47,232,0.758620689655172,0.896551724137931,2011-07-01,0.29488,75.0588094650116
"191","2011-08",21,117,28,82,8,22,0,0,0,0,1,1,0,1,262,1,1,2,1,18,0,3,236,49,288,0.819444444444444,0.909722222222222,2011-08-01,0.04961,75.051608758104
"192","2011-09",19,87,31,77,1,27,0,0,0,0,2,0,0,0,224,3,1,0,0,18,1,8,192,49,249,0.771084337349398,0.899598393574297,2011-09-01,0.18392,74.9416472915001
"193","2011-10",21,92,29,75,6,17,0,0,0,0,0,0,0,1,221,1,1,3,0,22,1,11,191,48,250,0.764,0.884,2011-10-01,0.34689,75.0031916069723
"194","2011-11",23,94,24,77,1,20,0,0,0,0,0,0,0,1,226,2,1,1,0,15,0,6,202,38,246,0.821138211382114,0.91869918699187,2011-11-01,0.57739,75.2888024181268
"195","2011-12",11,76,28,72,2,12,0,0,0,0,0,0,0,0,181,0,0,4,0,21,0,7,161,38,206,0.781553398058252,0.878640776699029,2011-12-01,0.74046,75.4565650780121
"196","2012-01",18,102,18,61,8,16,0,0,0,0,0,2,0,0,208,1,3,0,2,16,0,6,187,39,232,0.806034482758621,0.896551724137931,2012-01-01,0.98699,75.5323839605204
"197","2012-02",19,88,22,61,6,15,0,0,0,0,0,0,0,0,195,1,0,5,0,13,1,5,168,42,215,0.781395348837209,0.906976744186046,2012-02-01,1.15212,75.52949469318
"198","2012-03",19,113,27,64,3,17,0,0,0,0,0,1,0,0,228,1,3,3,0,14,1,3,198,50,251,0.788844621513944,0.908366533864542,2012-03-01,1.10026,75.6697630695277
"199","2012-04",19,103,21,74,6,12,0,0,0,0,0,2,0,0,218,2,1,1,0,21,1,11,180,55,246,0.731707317073171,0.886178861788618,2012-04-01,0.85002,75.6519161620323
"200","2012-05",21,105,28,75,7,11,0,0,0,0,0,0,0,0,226,2,3,5,0,16,0,11,196,45,252,0.777777777777778,0.896825396825397,2012-05-01,0.70016,75.7313355330184
"201","2012-06",14,90,19,74,6,23,0,0,0,0,1,1,0,1,208,1,0,2,1,16,1,9,185,38,232,0.797413793103448,0.896551724137931,2012-06-01,0.66152,75.5971266664982
"202","2012-07",16,90,25,93,3,19,0,0,0,0,1,1,0,0,233,2,4,1,0,11,1,4,214,36,254,0.84251968503937,0.917322834645669,2012-07-01,0.6985,75.6531779052519
"203","2012-08",17,104,20,74,5,23,0,0,0,0,0,2,0,0,223,1,1,4,0,15,2,7,192,49,248,0.774193548387097,0.899193548387097,2012-08-01,0.70087,75.6784661534639
"204","2012-09",18,93,25,87,2,13,0,0,0,0,0,1,0,1,226,0,5,3,0,10,0,5,203,37,246,0.82520325203252,0.91869918699187,2012-09-01,0.80907,75.9091655141024
"205","2012-10",22,125,28,88,3,19,0,0,0,0,4,0,0,1,266,1,2,2,0,17,1,6,229,59,294,0.77891156462585,0.904761904761905,2012-10-01,0.80915,76.0576370491552
"206","2012-11",21,89,30,58,3,10,0,1,0,0,0,3,0,0,191,0,3,2,0,16,0,5,166,45,216,0.768518518518518,0.884259259259259,2012-11-01,0.59893,75.7290871868774
"207","2012-12",15,71,14,65,4,19,0,0,0,0,1,1,0,0,174,2,4,0,1,15,0,6,158,34,198,0.797979797979798,0.878787878787879,2012-12-01,0.56909,75.9257815517984
"208","2013-01",24,76,25,82,2,13,0,1,0,0,1,2,0,1,199,2,3,1,1,16,1,13,175,40,228,0.767543859649123,0.87280701754386,2013-01-01,0.42731,75.6441607751675
"209","2013-02",25,77,28,69,0,12,0,0,0,0,0,2,0,0,197,2,0,2,1,14,1,5,173,39,219,0.789954337899543,0.899543378995434,2013-02-01,0.71389,75.8286025111614
"210","2013-03",17,92,23,86,1,26,0,0,0,0,1,1,0,0,221,1,1,2,0,23,0,12,195,43,250,0.78,0.884,2013-03-01,0.61098,75.8027659860634
"211","2013-04",14,80,13,86,4,24,0,1,0,0,0,0,0,2,204,1,4,3,1,12,0,14,174,40,228,0.763157894736842,0.894736842105263,2013-04-01,0.72967,75.8698902439368
"212","2013-05",17,77,23,69,3,21,0,0,0,0,1,0,0,1,198,5,1,3,1,8,0,10,155,53,218,0.711009174311927,0.908256880733945,2013-05-01,0.75283,76.0961840613864
"213","2013-06",20,89,28,53,8,18,0,0,0,0,0,1,0,0,205,1,2,5,0,11,0,7,180,37,225,0.8,0.911111111111111,2013-06-01,0.83646,75.881218881532
"214","2013-07",22,94,16,64,7,13,0,0,0,0,2,1,0,0,203,0,4,1,0,12,0,4,180,39,223,0.807174887892377,0.910313901345291,2013-07-01,0.82091,76.0570894395226
"215","2013-08",21,86,18,66,1,17,0,0,0,0,2,2,0,1,190,1,0,1,0,14,0,4,165,42,211,0.781990521327014,0.900473933649289,2013-08-01,0.87395,75.9699104877981
"216","2013-09",12,77,19,75,2,17,0,0,0,0,1,0,0,0,184,2,1,3,0,18,0,5,177,27,209,0.84688995215311,0.880382775119617,2013-09-01,0.75471,76.0330691193621
"217","2013-10",21,75,22,55,7,14,0,0,0,0,0,1,0,0,183,1,0,0,2,11,0,8,158,32,198,0.797979797979798,0.924242424242424,2013-10-01,0.69228,75.7079624060366
"218","2013-11",14,69,21,60,1,15,0,0,0,0,0,1,0,0,169,0,0,3,1,11,1,5,135,46,186,0.725806451612903,0.908602150537634,2013-11-01,0.71704,76.089904497527
"219","2013-12",18,80,18,69,2,12,0,0,0,0,0,0,0,0,178,1,4,3,0,18,0,5,157,42,204,0.769607843137255,0.872549019607843,2013-12-01,0.77102,76.187737807409
"220","2014-01",19,70,22,75,4,17,0,0,0,0,1,1,0,1,192,2,3,0,1,12,0,2,168,43,213,0.788732394366197,0.901408450704225,2014-01-01,0.69895,76.3729589187519
"221","2014-02",13,61,17,66,7,13,0,0,0,0,0,0,0,0,164,1,0,2,0,12,0,3,141,35,179,0.787709497206704,0.916201117318436,2014-02-01,0.41903,76.3071582110005
"222","2014-03",22,75,21,89,6,21,0,0,1,0,1,0,0,2,211,0,1,3,0,19,1,4,185,50,239,0.774058577405858,0.882845188284519,2014-03-01,0.8794,76.393610591121
"223","2014-04",20,83,22,66,6,19,0,0,0,0,2,2,0,0,200,1,3,3,0,15,1,5,183,38,227,0.806167400881057,0.881057268722467,2014-04-01,1.10696,76.3969527425239
"224","2014-05",19,64,22,65,2,15,0,0,0,0,2,0,0,1,170,0,0,4,0,14,1,5,150,37,192,0.78125,0.885416666666667,2014-05-01,1.32485,76.4840795281766
"225","2014-06",22,91,20,80,2,11,0,0,0,0,0,0,0,0,194,1,2,2,1,26,1,4,179,44,227,0.788546255506608,0.854625550660793,2014-06-01,1.07748,76.8424584885741
"226","2014-07",16,84,26,64,5,14,0,0,0,0,0,0,0,1,197,1,2,2,0,13,1,6,179,31,217,0.824884792626728,0.907834101382488,2014-07-01,1.12117,76.7341906643255
"227","2014-08",16,87,20,73,3,24,0,0,0,0,0,0,0,1,206,2,1,4,2,16,1,6,183,40,233,0.785407725321888,0.88412017167382,2014-08-01,1.17666,76.882073744841
"228","2014-09",21,87,31,72,3,22,0,0,0,0,0,0,0,0,213,2,3,3,1,18,1,8,187,46,241,0.775933609958506,0.883817427385892,2014-09-01,1.06333,76.847033534686
"229","2014-10",14,96,30,71,3,29,0,0,0,0,1,2,0,0,217,6,2,4,1,16,0,11,207,31,249,0.831325301204819,0.8714859437751,2014-10-01,1.12315,76.9266408230218
"230","2014-11",19,75,17,59,1,14,0,0,0,0,0,2,0,0,163,2,5,0,0,17,1,5,152,34,191,0.795811518324607,0.853403141361257,2014-11-01,1.19339,76.8978075475988
"231","2014-12",25,86,20,65,3,11,0,0,0,0,0,0,0,1,192,3,2,3,1,16,0,5,172,41,218,0.788990825688073,0.880733944954128,2014-12-01,1.32906,77.0448307032754
"232","2015-01",14,77,22,67,2,19,0,0,0,0,1,0,0,0,178,1,2,1,0,18,3,6,155,42,204,0.759803921568627,0.872549019607843,2015-01-01,1.23831,77.1089607314478
"233","2015-02",14,66,26,66,4,19,0,0,0,0,0,0,0,0,177,0,1,2,0,19,0,5,151,43,200,0.755,0.885,2015-02-01,1.0172,77.2087177441144
"234","2015-03",14,77,21,74,1,17,0,0,0,0,0,1,0,0,188,0,6,4,0,13,1,4,162,46,213,0.76056338028169,0.882629107981221,2015-03-01,0.9004,77.1613425013429
"235","2015-04",12,76,40,72,6,15,0,0,0,0,0,0,0,0,208,1,4,2,0,11,0,5,179,42,226,0.792035398230089,0.920353982300885,2015-04-01,0.83277,77.176793173079
"236","2015-05",14,70,17,62,4,17,0,0,0,0,0,0,0,0,182,1,1,2,0,8,1,8,158,29,195,0.81025641025641,0.933333333333333,2015-05-01,0.94745,77.2180173023209
"237","2015-06",21,73,26,69,1,16,0,0,0,0,1,2,0,0,189,3,0,4,0,18,0,8,176,33,217,0.811059907834101,0.870967741935484,2015-06-01,1.09848,77.3293879338082
"238","2015-07",26,71,19,71,5,13,0,0,0,0,0,0,0,0,188,1,3,4,3,11,2,2,164,46,212,0.773584905660377,0.886792452830189,2015-07-01,0.74876,77.2076195667937
"239","2015-08",15,87,27,55,1,17,0,1,0,0,1,0,0,0,188,3,1,1,1,13,0,7,165,37,209,0.789473684210526,0.899521531100478,2015-08-01,0.89809,77.4160319619584
"240","2015-09",18,82,21,60,3,16,0,0,0,0,0,1,0,0,180,2,1,3,2,17,1,6,172,30,208,0.826923076923077,0.865384615384615,2015-09-01,0.74457,77.4058115516792
"241","2015-10",19,79,15,70,4,24,0,0,0,0,0,4,0,0,187,1,3,2,2,18,1,8,174,36,218,0.798165137614679,0.857798165137615,2015-10-01,0.59065,77.30609810082
"242","2015-11",10,62,24,51,3,19,0,0,0,0,0,0,0,0,155,0,2,4,1,12,0,6,139,28,174,0.798850574712644,0.890804597701149,2015-11-01,0.92779,77.4129239014169
"243","2015-12",14,56,15,50,2,21,0,0,0,0,0,2,0,0,148,0,0,2,0,11,0,4,135,24,163,0.828220858895706,0.907975460122699,2015-12-01,0.93267,77.4087094703103
"244","2016-01",11,75,21,58,3,17,0,0,0,0,0,3,0,0,178,0,3,3,1,7,0,3,159,33,195,0.815384615384615,0.912820512820513,2016-01-01,0.50057,77.6844790103476
"245","2016-02",21,81,21,57,2,21,0,0,0,0,1,1,0,0,185,4,2,1,2,13,0,4,167,38,209,0.799043062200957,0.885167464114832,2016-02-01,0.4784,77.7498638018779
"246","2016-03",15,75,34,76,2,18,0,0,0,0,0,0,0,1,199,1,5,4,1,19,0,5,187,36,230,0.81304347826087,0.865217391304348,2016-03-01,0.39176,77.8957650877058
"247","2016-04",20,77,12,85,3,14,0,0,0,0,0,0,0,0,188,4,2,5,0,17,0,3,172,41,216,0.796296296296296,0.87037037037037,2016-04-01,0.43391,77.7255000798012
"248","2016-05",17,79,24,82,3,17,0,0,0,0,1,1,0,0,195,3,5,3,0,19,1,8,187,33,228,0.820175438596491,0.855263157894737,2016-05-01,0.60085,77.9239128195751
"249","2016-06",18,74,20,78,1,16,0,0,0,0,0,2,0,0,191,1,1,2,0,14,0,3,181,27,211,0.85781990521327,0.90521327014218,2016-06-01,0.63307,77.9268976760767
"250","2016-07",18,71,26,62,5,13,0,0,0,0,1,0,0,1,188,2,2,0,0,9,0,5,160,38,203,0.788177339901478,0.926108374384236,2016-07-01,0.60731,77.9835270406024
"251","2016-08",18,70,22,85,1,17,0,0,0,0,0,1,0,0,201,0,1,2,1,8,2,6,169,40,216,0.782407407407407,0.930555555555556,2016-08-01,0.7067,77.8726024820671
"252","2016-09",8,79,21,64,6,18,0,0,0,0,0,0,0,0,186,1,0,5,0,11,1,9,161,33,204,0.78921568627451,0.911764705882353,2016-09-01,0.75908,77.9568816436772
